nom_bassin_versant,latitude_centroide,longitude_centroide,quantile_prelevement_national,score_secheresse,classe_secheresse,classe_prelevement,classe_bivariee,volume_moyen_preleve_m3_an,nb_communes,rang_secheresse_national
Le Courlis (Onesse) du confluent du Jacon (inclus) au confluent du courant de Contis,44.0814,-1.186,8.13,0.0,faible/nulle,faible,0-0,0.0,0,0.0
Le Gave de Pau du confluent du Béez au confluent du Luz,43.2098,-0.2809,82.78,0.0,faible/nulle,fort,0-2,3513233.8,4,0.0
La Luzège du confluent du Vianon au confluent de la Dordogne,45.283,2.1545,17.22,0.0,faible/nulle,faible,0-0,3278.0,3,0.0
L'Aybes,43.6346,2.1788,8.13,0.0,faible/nulle,faible,0-0,0.0,1,0.0
LE LOUET DE LA LOIRE (NC) A L'AUBANCE (C),47.3374,-0.442,84.08,9.09,forte,fort,2-2,4196211.8,7,96.5
Le Maurepas de sa source au confluent de la Rolande (exclu),48.0378,2.4818,64.44,0.0,faible/nulle,modere,0-1,830392.0,5,0.0
Le Alhorgako Erreka,43.3936,-1.558,8.13,0.0,faible/nulle,faible,0-0,0.0,2,0.0
La Souleuvre du confluent du ruisseau de Blandouit (exclu) au confluent du Courbenèon (inclus),48.9718,-0.7978,8.13,0.0,faible/nulle,faible,0-0,0.0,0,0.0
La Vilaine de sa source au confluent du Canal de Retour d'Eau,49.3791,0.3577,8.13,0.0,faible/nulle,faible,0-0,0.0,2,0.0
La Lède du confluent du Cluzelou au confluent de la Leyze,44.5097,0.7632,71.48,1.08,faible/nulle,fort,0-2,1329425.6,1,82.4
L'Isle du confluent du Vern au confluent de la Beauronne,45.0697,0.4221,43.37,0.88,faible/nulle,modere,0-1,217590.0,3,82.0
La Durance du Buëch au Jabron,44.1835,5.9535,8.13,0.0,faible/nulle,faible,0-0,0.0,0,0.0
Le Lavaud,45.4465,1.0624,56.89,0.0,faible/nulle,modere,0-1,515145.4,1,0.0
La Douze du confluent du Bergon au confluent de l'Uby,43.8852,-0.0528,36.1,0.0,faible/nulle,modere,0-1,130963.4,2,0.0
L'ALLIER DE L'ALAGNON (NC) A LA COUZE D'ARDES (NC),45.4627,3.2865,77.23,0.0,faible/nulle,fort,0-2,2042572.4,1,0.0
La Bayse de sa source au confluent de la Baysole (incluse),43.1996,-0.4691,8.13,0.0,faible/nulle,faible,0-0,0.0,2,0.0
L'Aude de la Cesse à la mer Méditerranée,43.2894,3.036,95.15,6.99,forte,fort,2-2,129520747.8,22,94.4
L'Agron de sa source au confluent de l'Aire (exclu),49.3941,4.9807,45.69,7.18,forte,modere,2-1,250915.0,11,94.7
L'Aure du confluent de la Tortonne (exclu) au confluent de l'Esque (exclu),49.328,-0.9608,8.13,0.0,faible/nulle,faible,0-0,0.0,1,0.0
Le Woigot du ruisseau de la Vallée à l'Orne.,49.242,5.9556,8.13,0.0,faible/nulle,faible,0-0,0.0,0,0.0
La Sélune du confluent de la Cance (exclu) au confluent de la Gueuche (exclu),48.5887,-0.976,8.13,0.0,faible/nulle,faible,0-0,0.0,0,0.0
L'Ay du confluent de la rivière de Claids (exclu) au confluent du ruisseau d'Angoville (inclus),49.233,-1.5182,31.6,0.0,faible/nulle,faible,0-0,87142.8,1,0.0
L'Ancre de sa source au confluent du ruisseau de Saint Léger Dubosq (inclus),49.2378,0.0035,66.17,0.0,faible/nulle,modere,0-1,928362.4,10,0.0
La Soloire (Rouzille) de sa source au confluent du Ru (inclus),45.8247,-0.2218,49.75,0.0,faible/nulle,modere,0-1,334100.0,5,0.0
